Variable:,pr
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1975,588.81,996.91,534.43,461.24,724.52,325.67,1334.71,765.57,1541.68
1976,522.95,913.26,555.50,429.27,613.42,301.23,1344.49,598.47,1442.95
1977,899.52,1525.69,809.24,842.04,1408.92,551.09,1607.32,1080.17,1858.11
1978,856.74,1402.14,906.92,791.74,1099.92,562.45,1640.44,949.91,1615.60
1979,798.89,1302.57,1003.01,747.41,932.46,517.64,1408.08,824.37,1438.87
1980,517.54,985.83,522.29,453.82,972.02,254.12,1226.19,620.71,1271.91
1981,752.80,1283.31,715.64,715.08,958.93,537.82,1331.84,827.95,1487.53
1982,883.69,1341.33,1000.23,873.33,1045.72,600.36,1525.16,910.00,1672.43
1983,594.20,1143.40,574.85,491.03,815.65,311.07,1351.66,738.59,1500.35
1984,538.17,775.24,712.68,518.46,531.18,346.72,1208.42,497.89,1273.21
1985,683.41,1137.44,606.95,687.62,804.86,404.74,1370.86,776.78,1535.55
1986,684.87,1173.50,757.87,639.65,907.07,511.10,1394.26,680.52,1351.24
1987,597.62,924.84,614.82,478.92,775.85,410.24,1439.28,682.92,1435.37
1988,802.70,1459.00,755.03,775.90,1175.53,473.04,1634.95,914.60,1687.85
1989,781.19,1454.66,734.09,718.65,1158.33,518.41,1450.38,895.33,1542.29
1990,769.98,1371.15,766.54,755.94,1045.96,508.07,1385.95,831.76,1553.36
1991,613.45,1078.54,668.53,493.59,842.07,321.81,1470.41,739.84,1549.34
1992,650.02,1189.53,669.95,587.84,942.42,414.08,1330.42,718.64,1505.55
1993,639.11,1075.54,584.40,613.16,849.97,442.03,1289.78,702.23,1319.75
1994,737.47,1257.29,896.86,665.60,962.92,483.79,1439.47,768.53,1445.93
1995,663.76,1178.10,595.94,615.25,873.43,445.04,1341.90,757.25,1393.02
1996,540.83,879.57,490.47,400.38,643.22,290.20,1444.11,703.43,1620.02
1997,997.31,1425.25,1084.35,1059.40,1077.54,803.89,1638.55,921.42,1636.28
1998,732.36,1484.68,856.04,602.08,1121.34,430.29,1379.38,847.84,1501.80
1999,613.43,946.97,679.61,520.60,684.60,334.24,1424.46,717.98,1537.84
2000,498.41,690.50,543.33,413.13,521.95,268.27,1212.05,592.68,1393.27
2001,638.29,1155.27,590.70,573.24,896.51,359.19,1480.22,752.41,1610.13
2002,814.71,1419.63,905.88,777.07,1175.77,518.46,1594.77,862.01,1586.70
2003,650.42,1092.48,535.81,604.32,749.28,437.12,1230.79,768.89,1479.54
2004,658.38,1003.89,589.53,617.09,664.24,451.67,1257.45,751.87,1510.47
2005,545.10,861.38,491.44,487.51,563.37,366.43,1164.65,629.06,1329.65
2006,795.68,1403.76,1001.60,728.08,1204.55,439.36,1591.29,855.86,1573.21
2007,716.49,1085.82,650.40,585.11,733.68,469.93,1547.50,875.48,1897.31
2008,687.72,1075.14,586.27,669.86,804.69,386.64,1365.54,826.46,1674.66
2009,683.33,1190.12,681.27,666.03,889.03,472.35,1365.95,714.96,1397.05
2010,675.60,1075.35,545.64,588.59,799.65,369.50,1629.83,855.21,1845.03
2011,648.35,990.57,637.90,587.89,727.78,461.89,1466.62,697.07,1507.91
